,ShardType,NumShards,Ops,Interarrival_us_0.05,Interarrival_us_0.25,Interarrival_us_0.5,Interarrival_us_0.75,Interarrival_us_0.95,NumOps_0.05,NumOps_0.25,NumOps_0.5,NumOps_0.75,NumOps_0.95,Completion_ms_0.05,Completion_ms_0.25,Completion_ms_0.5,Completion_ms_0.75,Completion_ms_0.95,Latency_us_0.05,Latency_us_0.25,Latency_us_0.5,Latency_us_0.75,Latency_us_0.95,Commit,Datapath,Concurrency,Poisson,Iter
17,client,8,100000,160.0,160.0,160.0,160.0,160.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,24457.0,24457.0,24517.0,24577.0,24577.0,8.0,11.0,11.0,11.0,12.0,kv-mlx5-0a7efa1,dpdkmulti_nochunnels,workloadb-8,True,0
18,client,8,140000,114.0,114.0,114.0,114.0,114.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,17467.0,17467.0,17508.0,17549.0,17549.0,7.0,11.0,11.0,11.0,12.0,kv-mlx5-0a7efa1,dpdkmulti_nochunnels,workloadb-8,True,0
19,client,8,180000,88.0,88.0,88.0,88.0,88.0,1214019.0,1214019.0,1214020.0,1214020.0,1214020.0,13523.0,13523.0,13523.0,13586.0,13586.0,7.0,11.0,11.0,11.0,12.0,kv-mlx5-0a7efa1,dpdkmulti_nochunnels,workloadb-8,True,0
20,client,8,640000,25.0,25.0,25.0,25.0,25.0,1214019.0,1214019.0,1214020.0,1214020.0,1214020.0,3945.0,3945.0,3945.0,3962.0,3962.0,7.0,11.0,11.0,11.0,14.0,kv-mlx5-0a7efa1,dpdkmulti_nochunnels,workloadb-8,True,0
21,client,8,720000,22.0,22.0,22.0,22.0,22.0,1214009.0,1214009.0,1214017.0,1214017.0,1214017.0,3490.0,3490.0,3507.0,3507.0,3507.0,8.0,10.0,11.0,12.0,15.0,kv-mlx5-0a7efa1,dpdkmulti_nochunnels,workloadb-8,True,0
22,client,8,800000,20.0,20.0,20.0,20.0,20.0,1214019.0,1214019.0,1214019.0,1214019.0,1214019.0,3186.0,3186.0,3187.5,3189.0,3189.0,8.0,11.0,11.0,11.0,15.0,kv-mlx5-0a7efa1,dpdkmulti_nochunnels,workloadb-8,True,0
23,client,8,440000,36.0,36.0,36.0,36.0,36.0,1214016.0,1214016.0,1214019.0,1214019.0,1214019.0,5625.0,5625.0,5644.0,5644.0,5644.0,8.0,11.0,11.0,11.0,13.0,kv-mlx5-0a7efa1,dpdkmulti_nochunnels,workloadb-8,True,0
24,client,8,520000,30.0,30.0,30.0,30.0,30.0,1214018.0,1214018.0,1214020.0,1214020.0,1214020.0,4700.0,4700.0,4726.0,4726.0,4726.0,8.0,11.0,11.0,11.0,13.0,kv-mlx5-0a7efa1,dpdkmulti_nochunnels,workloadb-8,True,0
25,client,8,600000,26.0,26.0,26.0,26.0,26.0,1214018.0,1214018.0,1214020.0,1214020.0,1214020.0,4105.0,4105.0,4116.0,4116.0,4116.0,8.0,11.0,11.0,11.0,14.0,kv-mlx5-0a7efa1,dpdkmulti_nochunnels,workloadb-8,True,0
26,server,8,40000,400.0,400.0,400.0,400.0,400.0,1213824.0,1213824.0,1213851.0,1213851.0,1213851.0,60923.0,60923.0,60923.0,61206.0,61206.0,20.0,24.0,28.0,32.0,43.0,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
27,server,8,80000,200.0,200.0,200.0,200.0,200.0,1213149.0,1213149.0,1213188.0,1213188.0,1213188.0,30528.0,30528.0,30656.0,30656.0,30656.0,24.0,34.0,44.0,64.0,88.0,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
28,server,8,120000,133.0,133.0,133.0,133.0,133.0,1170516.0,1170516.0,1173488.0,1173488.0,1173488.0,20367.0,20367.0,20462.0,20462.0,20462.0,27.0,41.0,61.0,87.0,123.0,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
29,server,8,160000,100.0,100.0,100.0,100.0,100.0,573440.0,573440.0,573466.0,573466.0,573466.0,15731.0,15731.0,15731.0,15748.0,15748.0,40.0,61.0,84.0,132.0,210.0,kv-mlx5-0a7efa1,dpdkmulti,workloadb-8,True,0
