mode provider inter_request_ms num_msgs elapsed_us msg_send_time req_latency_us req_orderedness
Ordered:5 aws 25 200 0 4832989 27111 0
Ordered:5 aws 25 200 0 4870112 32228 0
Ordered:5 aws 25 200 0 4906301 29771 0
Ordered:5 aws 25 200 0 4943143 26078 0
Ordered:5 aws 25 200 0 4983404 27587 0
Ordered:5 aws 25 200 0 5020941 32230 0
Ordered:5 aws 25 200 0 5056134 36147 0
Ordered:5 aws 25 200 0 5094322 27539 0
Ordered:5 aws 25 200 0 5132943 36844 0
Ordered:5 aws 25 200 0 5169541 56282 0
Ordered:5 aws 25 200 0 5212988 32455 0
Ordered:5 aws 25 200 0 5251886 30342 0
Ordered:5 aws 25 200 0 5291130 30203 0
Ordered:5 aws 25 200 0 5328324 35300 0
Ordered:5 aws 25 200 0 5368617 45990 0
Ordered:5 aws 25 200 0 5405015 31616 0
Ordered:5 aws 25 200 0 5440616 46792 0
Ordered:5 aws 25 200 0 5481242 26703 0
Ordered:5 aws 25 200 0 5519927 28913 0
Ordered:5 aws 25 200 0 5556793 27668 0
Ordered:5 aws 25 200 0 5591464 28169 0
Ordered:5 aws 25 200 0 5629621 31969 0
Ordered:5 aws 25 200 0 5669587 60498 0
Ordered:5 aws 25 200 0 5709068 40366 0
Ordered:5 aws 25 200 0 5758426 56477 0
Ordered:5 aws 25 200 0 5824221 52126 0
Ordered:5 aws 25 200 0 5884404 37770 0
Ordered:5 aws 25 200 0 5923173 27403 0
Ordered:5 aws 25 200 0 5959609 30451 0
Ordered:5 aws 25 200 0 5995033 25409 0
Ordered:5 aws 25 200 0 6030513 74513 0
Ordered:5 aws 25 200 0 6116402 34880 0
Ordered:5 aws 25 200 0 6153260 47423 0
Ordered:5 aws 25 200 0 6190306 30724 0
Ordered:5 aws 25 200 0 6228335 86262 0
Ordered:5 aws 25 200 0 6293013 52208 0
Ordered:5 aws 25 200 0 6338445 36018 0
Ordered:5 aws 25 200 0 6380621 28428 0
Ordered:5 aws 25 200 0 6418017 32755 0
Ordered:5 aws 25 200 0 6456840 29981 0
Ordered:5 aws 25 200 0 6491868 30214 0
Ordered:5 aws 25 200 0 6526500 27755 0
Ordered:5 aws 25 200 0 6562266 33355 0
Ordered:5 aws 25 200 0 6598584 31467 0
Ordered:5 aws 25 200 0 6636029 36166 0
Ordered:5 aws 25 200 0 6676172 31572 0
Ordered:5 aws 25 200 0 6714774 41800 0
Ordered:5 aws 25 200 0 6752286 22616 0
Ordered:5 aws 25 200 0 6788910 65944 0
Ordered:5 aws 25 200 0 6859968 28192 0
Ordered:5 aws 25 200 0 6899241 28012 0
Ordered:5 aws 25 200 0 6937312 25819 0
Ordered:5 aws 25 200 0 6974106 58101 0
Ordered:5 aws 25 200 0 7038210 31341 0
Ordered:5 aws 25 200 0 7075619 27756 0
Ordered:5 aws 25 200 0 7110343 55562 0
Ordered:5 aws 25 200 0 7170872 35792 0
Ordered:5 aws 25 200 0 7206492 35659 0
Ordered:5 aws 25 200 0 7246115 59761 0
Ordered:5 aws 25 200 0 7288566 28981 0
Ordered:5 aws 25 200 0 7324535 46046 0
Ordered:5 aws 25 200 0 7373579 69178 0
Ordered:5 aws 25 200 0 7413746 52475 0
Ordered:5 aws 25 200 0 7468597 30977 0
Ordered:5 aws 25 200 0 7508569 33581 0
Ordered:5 aws 25 200 0 7546101 28863 0
Ordered:5 aws 25 200 0 7582794 27229 0
Ordered:5 aws 25 200 0 7617999 29991 0
Ordered:5 aws 25 200 0 7652951 25994 0
Ordered:5 aws 25 200 0 7690934 32642 0
Ordered:5 aws 25 200 0 7727530 26665 0
Ordered:5 aws 25 200 0 7764347 31731 0
Ordered:5 aws 25 200 0 7802057 32844 0
