Commit,ShardType,NumShards,Ops,Concurrency,Interarrival_us_0.05,Interarrival_us_0.25,Interarrival_us_0.5,Interarrival_us_0.75,Interarrival_us_0.95,NumOps_0.05,NumOps_0.25,NumOps_0.5,NumOps_0.75,NumOps_0.95,Completion_ms_0.05,Completion_ms_0.25,Completion_ms_0.5,Completion_ms_0.75,Completion_ms_0.95,Latency_us_0.05,Latency_us_0.25,Latency_us_0.5,Latency_us_0.75,Latency_us_0.95
kvlb-79b6c33,client,2,100000,4,120.0,120.0,120.0,120.0,120.0,268196.0,268196.0,274766.0,276555.0,276555.0,8273.0,8273.0,8356.0,8357.0,8357.0,62.0,284.0,605.0,74617.0,162429.0
kvlb-79b6c33,client,2,100000,8,240.0,240.0,240.0,240.0,240.0,272461.0,272461.0,272658.0,274694.0,274694.0,8198.0,8198.0,8236.0,8279.0,8279.0,54.0,63.0,71.0,84.0,784.0
kvlb-79b6c33,server,2,10000,4,1200.0,1200.0,1200.0,1200.0,1200.0,274966.0,274966.0,275639.0,276105.0,276105.0,82607.0,82607.0,82711.0,83012.0,83012.0,87.0,93.0,97.0,101.0,118.0
kvlb-79b6c33,server,2,10000,8,2400.0,2400.0,2400.0,2400.0,2400.0,273032.0,273032.0,273803.0,275598.0,275598.0,81945.0,81945.0,82036.0,82758.0,82758.0,91.0,98.0,106.0,350.0,725.0
kvlb-79b6c33,server,2,20000,4,600.0,600.0,600.0,600.0,600.0,276136.0,276136.0,276196.0,276316.0,276316.0,41503.0,41503.0,41551.0,41647.0,41647.0,85.0,92.0,96.0,101.0,136.0
kvlb-79b6c33,server,2,20000,8,1200.0,1200.0,1200.0,1200.0,1200.0,273099.0,273099.0,273624.0,273952.0,273952.0,40921.0,40921.0,41036.0,41141.0,41141.0,89.0,97.0,106.0,359.0,699.0
kvlb-79b6c33,server,2,40000,4,300.0,300.0,300.0,300.0,300.0,275890.0,275890.0,275896.0,276108.0,276108.0,20729.0,20729.0,20788.0,20835.0,20835.0,93.0,105.0,114.0,127.0,179.0
kvlb-79b6c33,server,2,40000,8,600.0,600.0,600.0,600.0,600.0,271923.0,271923.0,273915.0,274327.0,274327.0,20410.0,20410.0,20532.0,20563.0,20563.0,100.0,120.0,199.0,542.0,1024.0
kvlb-79b6c33,server,2,60000,4,200.0,200.0,200.0,200.0,200.0,274619.0,274619.0,274948.0,275496.0,275496.0,13770.0,13770.0,13800.0,13849.0,13849.0,89.0,101.0,111.0,132.0,590.0
kvlb-79b6c33,server,2,60000,8,400.0,400.0,400.0,400.0,400.0,270924.0,270924.0,273287.0,274989.0,274989.0,13547.0,13547.0,13736.0,13786.0,13786.0,101.0,130.0,343.0,632.0,1424.0
kvlb-79b6c33,server,2,80000,4,150.0,150.0,150.0,150.0,150.0,274928.0,274928.0,275567.0,276772.0,276772.0,10371.0,10371.0,10389.0,10457.0,10457.0,93.0,111.0,140.0,362.0,7573.0
kvlb-79b6c33,server,2,80000,8,300.0,300.0,300.0,300.0,300.0,272357.0,272357.0,274492.0,275249.0,275249.0,10251.0,10251.0,10333.0,10378.0,10378.0,103.0,180.0,491.0,922.0,5372.0
kvlb-79b6c33,server,2,100000,4,120.0,120.0,120.0,120.0,120.0,275709.0,275709.0,276098.0,276705.0,276705.0,8324.0,8324.0,8393.0,8395.0,8395.0,94.0,121.0,220.0,4028.0,12134.0
